Pedro Sanchez:gender=male
Pablo Casado:gender=male
Pablo Iglesias:gender=male
Javier Ortega Smith-Molina:gender=male
Santiago Abascal:gender=male
Inés Arrimadas:gender=female
Alfonso Alonso:gender=male
Cayetana Alvarez de Toledo:gender=female
Dolors Monserrat:gender=female
Chris Hulme:gender=male
Andrew Lansley:gender=male
Michael Gove:gender=male
Eric Pickles:gender=male
Philip Hammond:gender=male
Caroline Spelman:gender=female
Andrew Mitchell:gender=male
Jeremy Hunt:gender=male
Owen Paterson:gender=male
Michael Moore:gender=male
Cheryl Gillan:gender=female
Danny Alexander:gender=male
Baroness Warsi:gender=female
Lord Strathclyde:gender=male
