No. de Noticia;Fuente y Fecha;Titulo de la noticia;URL;TEMA;GUARDADO;ANOTADO
Noticia_1.txt;EFEMadrid 21 abr. 2020                                                                                                 ;Los menores de 14 años podrán acompañar a adultos al supermercado, farmacias y bancos.;https://www.efe.com/efe/espana/portada/los-menores-de-14-anos-podran-acompanar-a-adultos-al-supermercado-farmacias-y-bancos/10010-4226564;CORONAVIRUS PANDEMIA;;
Noticia_2.txt;EFEMadrid 20 abr. 2020                                                                                                 ;El ritmo descendente de la epidemia acelera los planes para la desescalada;https://www.efe.com/efe/espana/sociedad/el-ritmo-descendente-de-la-epidemia-acelera-los-planes-para-desescalada/10004-4225620;CORONAVIRUS PANDEMIA;;
Noticia_3.txt;EFEMadrid 21 abr. 2020                                                                                    ;La Comunidad comprará 14 millones de mascarillas que repartirá a madrileños;https://www.efe.com/efe/espana/sociedad/la-comunidad-comprara-14-millones-de-mascarillas-que-repartira-a-madrilenos/10004-4226817;CORONAVIRUS PANDEMIA;;
Noticia_4.txt;EFEMadrid 21 abr. 2020                                                                       ;"Madrid admite que sus residencias no estaban ""preparadas"" para la pandemia";https://www.efe.com/efe/espana/sociedad/madrid-admite-que-sus-residencias-no-estaban-preparadas-para-la-pandemia/10004-4226841;CORONAVIRUS RESIDENCIAS;;
Noticia_5.txt;EFEMadrid21 abr. 2020                                                                 ;"WhatsApp y la OMS lanzan ""Juntos en casa"", una nueva colección de ""stickers""";https://www.efe.com/efe/espana/sociedad/whatsapp-y-la-oms-lanzan-juntos-en-casa-una-nueva-coleccion-de-stickers/10004-4227045;CORONAVIRUS COMUNICACIÓN;;
Noticia_6.txt;EFEMadrid21 abr. 2020                                                                       ;Sanidad aclara que la inmunidad no será el único marcador para la desescalada;https://www.efe.com/efe/espana/sociedad/sanidad-aclara-que-la-inmunidad-no-sera-el-unico-marcador-para-desescalada/10004-4226826;CORONAVIRUS PANDEMIA;;
Noticia_7.txt;EFEMadrid21 abr. 2020                                                                                           ;El efecto fin de semana marca otro repunte de casi 4.000 casos y 430 muertes;https://www.efe.com/efe/espana/sociedad/el-efecto-fin-de-semana-marca-otro-repunte-casi-4-000-casos-y-430-muertes/10004-4226636;CORONAVIRUS PANDEMIA;;
Noticia_8.txt;EFEPamplona21 abr. 2020                                                        ;Suspendidos los San fermines 2020 por la pandemia;https://www.efe.com/efe/espana/sociedad/suspendidos-los-sanfermines-2020-por-la-pandemia/10004-4226761;CORONAVIRUS SANFERMINES;;
Noticia_9.txt;EFEParís21 abr. 2020                                                                                                   ;Francia escalonará la vuelta a clase durante 3 semanas desde el 11 de mayo;https://www.efe.com/efe/espana/sociedad/francia-escalonara-la-vuelta-a-clase-durante-3-semanas-desde-el-11-de-mayo/10004-4226946;CORONAVIRUS FRANCIA;;
Noticia_10.txt;MADRID/EFE martes 21.04.2020	                                                 ;La pérdida del olfato por coronavirus: ¿Por qué es más patente en España?;https://www.efesalud.com/olfato-coronavirus-perdida-sintomas;CORONAVIRUS;;
Noticia_11.txt;EFEBilbao21 abr. 2020                                                                                       ;Aprehendidos 1.100 kilos de cocaína en el puerto de Bilbao;https://www.efe.com/efe/espana/sociedad/aprehendidos-1-100-kilos-de-cocaina-en-el-puerto-bilbao/10004-4226865;SUCESOS NARCOTRAFICO;;
Noticia_12.txt;EFEMadrid21 abr. 2020                                                                                                                                    ;Madrid suma 109 muertos por la COVID-19 y un millar de nuevos contagios;https://www.efe.com/efe/espana/portada/madrid-suma-109-muertos-por-la-covid-19-y-un-millar-de-nuevos-contagios/10010-4226658;CORONAVIRUS PANDEMIA;;
Noticia_13.txt;EFEEstrasburgo (Francia)21 abr. 2020                                                      ;"El Consejo de Europa ve los derechos humanos ""cada vez más amenazados en Europa""";https://www.efe.com/efe/espana/portada/el-consejo-de-europa-ve-los-derechos-humanos-cada-vez-mas-amenazados-en/10010-4226829;C.EUROPA DDHH;;
Noticia_14.txt;EFEMadrid21 abr. 2020                                                                                             ;El Gobierno suprime el IVA al material sanitario y baja el de prensa digital;https://www.efe.com/efe/espana/portada/el-gobierno-suprime-iva-al-material-sanitario-y-baja-de-prensa-digital/10010-4226967;CORONAVIRUS HACIENDA;;
Noticia_15.txt;EFEMadrid21 abr. 2020                                                                                ;Las víctimas de trata y prostitutas vulnerables percibirán eI ingreso mínimo;https://www.efe.com/efe/espana/sociedad/las-victimas-de-trata-y-prostitutas-vulnerables-percibiran-ei-ingreso-minimo/10004-4226474;CORONAVIRUS PANDEMIA;;
Noticia_16.txt;EFENueva York21 abr. 2020                                                                                                                   ;Chomsky: Estamos ante otro fallo masivo y colosal del capitalismo neoliberal;https://www.efe.com/efe/espana/cultura/chomsky-estamos-ante-otro-fallo-masivo-y-colosal-del-capitalismo-neoliberal/10005-4226729;PENSAMIENTO CORONAVIRUS;;
Noticia_17.txt;EFESeúl21 abr. 2020                                                                                                        ;Seúl resta peso a los reportes sobre una supuesta operación cardíaca de Kim Jong-un;https://www.efe.com/efe/espana/mundo/seul-resta-peso-a-los-reportes-sobre-una-supuesta-operacion-cardiaca-de-kim-jong-un/10001-4226409;COREA DEL NORTE KIM JONG-UN;;
Noticia_18.txt;EFEWashington21 abr. 2020                                                                                                                  ;Trump suspenderá temporalmente la inmigración a EE.UU. por la COVID-19;https://www.efe.com/efe/espana/mundo/trump-suspendera-temporalmente-la-inmigracion-a-ee-uu-por-covid-19/10001-4226401;CORONAVIRUS EEUU;;
Noticia_19.txt;EFEAustralia 21 abr. 2020                                                 ;"Australia pide una investigación ""transparente"" sobre el origen de la COVID-19";https://www.efe.com/efe/espana/mundo/australia-pide-una-investigacion-transparente-sobre-el-origen-de-la-covid-19/10001-4226476;CORONAVIRUS AUSTRALIA;;
Noticia_20.txt;EFEColombo21 abr. 2020                                                                                                         ;La pandemia empaña el aniversario de los atentados de Pascua en Sri Lanka;https://www.efe.com/efe/espana/mundo/la-pandemia-empana-el-aniversario-de-los-atentados-pascua-en-sri-lanka/10001-4226561;SRI LANKA ATENTADOS;;
Noticia_21.txt;EFERoma21 abr. 2020                                                                                                         ;Conte prevé comenzar la reapertura del país a partir del 4 de mayo;https://www.efe.com/efe/espana/mundo/conte-preve-comenzar-la-reapertura-del-pais-a-partir-4-de-mayo/10001-4226445;CORONAVIRUS ITALIA;;
Noticia_22.txt;EFEEl Cairo21 abr. 2020                                                                                                                  ;Menos ejecuciones en el mundo en 2019 y más en Oriente Medio, según AI;https://www.efe.com/efe/espana/mundo/menos-ejecuciones-en-el-mundo-2019-y-mas-oriente-medio-segun-ai/10001-4226703;PENA MUERTE;;
Noticia_23.txt;EFEJerusalén20 abr. 2020                                                                                                        ;Netanyahu sigue al frente de Israel con un gobierno de emergencia y anexión;https://www.efe.com/efe/espana/mundo/netanyahu-sigue-al-frente-de-israel-con-un-gobierno-emergencia-y-anexion/10001-4226109;ISRAEL GOBIERNO;;
Noticia_248.txt;EFEMadrid20 abr. 2020                                                                                       ;La variación genética puede explicar las distintas respuestas al coronavirus;https://www.efe.com/efe/espana/efefuturo/la-variacion-genetica-puede-explicar-las-distintas-respuestas-al-coronavirus/50000905-4225456;CORONAVIRUS CIENCIA;;
Noticia_25.txt;EFELondres21 abr. 2020                                                                               ;El proceso del lenguaje comenzó hace al menos 25 millones de años;https://www.efe.com/efe/espana/efefuturo/el-proceso-del-lenguaje-comenzo-hace-al-menos-25-millones-de-anos/50000905-4226450;CIENCIA LENGUAJE;;
Noticia_26.txt;EFEMadrid20 abr. 2020                                                                                                                               ;La alta contaminación puede estar ligada a un alto número de muertes por COVID-19;https://www.efe.com/efe/espana/efefuturo/la-alta-contaminacion-puede-estar-ligada-a-un-alto-numero-de-muertes-por-covid-19/50000905-4226444;CORONAVIRUS INVESTIGACIÓN;;
Noticia_27.txt;EFE Madrid20 abr. 2020                                                                                                                                ;Ignacio López-Goñi, el científico al que han leído más de 21 millones de personas;https://www.efe.com/efe/espana/efefuturo/ignacio-lopez-goni-el-cientifico-al-que-han-leido-mas-de-21-millones-personas/50000905-4225769;CORONAVIRUS CIENCIA;;
Noticia_28.txt;EFETenerife21 abr. 2020                                                                                  ;Lluvia de Las Líridas, también desde casa;https://www.efe.com/efe/espana/efefuturo/lluvia-de-las-liridas-tambien-desde-casa/50000905-4226431;LLUVIA ESTRELLAS;;
Noticia_29.txt;EFEMadrid21 abr. 2020                                                                                                      ;El Grupo BMW necesitará en 2025 siete veces más de litio que ahora para sus vehículos electrificados;https://www.efe.com/efe/espana/efemotor/el-grupo-bmw-necesitara-en-2025-siete-veces-mas-de-litio-que-ahora-para-sus-vehiculos-electrificados/50000913-4226647;MOTOR BMW;;
Noticia_30.txt;EFEMadrid21 abr. 2020                                                                                                                                ;El sector español de proveedores de automoción exportó en 2019 un 3,1% menos por el Brexit y las tensiones comerciales;https://www.efe.com/efe/espana/efemotor/el-sector-espanol-de-proveedores-automocion-exporto-en-2019-un-3-1-menos-por-brexit-y-las-tensiones-comerciales/50000913-4226849;MOTOR COMPONENTES;;
Noticia_31.txt;EFEValladolid20 abr. 2020                                                                  ;Renault reanudará el próximo 29 de abril la producción en las plantas de Palencia y Carrocerías;https://www.efe.com/efe/espana/efemotor/renault-reanudara-el-proximo-29-de-abril-la-produccion-en-las-plantas-palencia-y-carrocerias/50000913-4225822;MOTOR CORONAVIRUS RENAULT;;
Noticia_32.txt;EFEMadrid20 abr. 2020                                                                         ;Prendas inteligentes para el confinamiento;https://www.efe.com/efe/espana/efeestilo/prendas-inteligentes-para-el-confinamiento/50000912-4226434;CORONAVIRUS MODA;;
Noticia_33.txt;EFEMadrid20 abr. 2020                                                                                                                           ;Calcetines, imprescindibles para alegrar el confinamiento;https://www.efe.com/efe/espana/efeestilo/calcetines-imprescindibles-para-alegrar-el-confinamiento/50000912-4226441;EL ESCAPARATE;;
Noticia_34.txt;EFELondres21 abr. 2020                                                                                                                                            ;Isabel II cumple 94 años sin celebraciones;https://www.efe.com/efe/espana/efeestilo/isabel-ii-cumple-94-anos-sin-celebraciones/50000912-4227040;GENTE;;
Noticia_35.txt;EFEMadrid20 abr. 2020                                                                                                                                      ;¿Qué tenía en común Jackie Kennedy, Isabel II, Brigitte Bardot o Cary Grant?;https://www.efe.com/efe/espana/efeestilo/que-tenia-en-comun-jackie-kennedy-isabel-ii-brigitte-bardot-o-cary-grant/50000912-4225680;ESTILO;;
Noticia_36.txt;EFEMadrid20 abr. 2020                                                                                                                                     ;Gwyneth Paltrow dona un vestido de Óscar y Thalía un espacio en su videoclip;https://www.efe.com/efe/espana/efeestilo/gwyneth-paltrow-dona-un-vestido-de-oscar-y-thalia-espacio-en-su-videoclip/50000912-4226440;CORONAVIRUS SOLIDARIDAD;;
Noticia_37.txt;EFEMadrid17 abr. 2020                                                                                                                                    ;Vogue lanza, por primera vez en su historia, una portada sin fotografía;https://www.efe.com/efe/espana/efeestilo/vogue-lanza-por-primera-vez-en-su-historia-una-portada-sin-fotografia/50000912-4225461;MODA;;
Noticia_38.txt;EFEMadrid20 abr. 2020                                                                ;DecorAcción 2020 se aplaza hasta después del verano;https://www.efe.com/efe/espana/efeestilo/decoraccion-2020-se-aplaza-hasta-despues-del-verano/50000912-4226447;CORONAVIRUS DECORACIÓN;;
Noticia_39.txt;EFE Madrid 20 abr. 2020                                                                                                                            ;Aena prevé reanudar primero tráfico aéreo nacional y después el de la UE;https://www.efe.com/efe/espana/efeempresas/aena-preve-reanudar-primero-trafico-aereo-nacional-y-despues-el-de-la-ue/50000908-4226199;EMPRESAS;;
Noticia_40.txt;EFE Madrid  18 abr. 2020                                                                                                                                 ;Viajes El Corte Inglés aprueba ERTE para 4.500 empleados, el 90% de plantilla;https://www.efe.com/efe/espana/efeempresas/viajes-el-corte-ingles-aprueba-erte-para-4-500-empleados-90-de-plantilla/50000908-4224544;EMPRESAS;;
Noticia_41.txt;EFE Madrid 13 abr. 2020                                                                                                                                            ;Inditex no presentará ERTE en abril y sufragará el pago de la nómina a toda la plantilla;https://www.efe.com/efe/espana/efeempresas/inditex-no-presentara-erte-en-abril-y-sufragara-el-pago-de-la-nomina-a-toda-plantilla/50000908-4220260;EMPRESAS;;
Noticia_42.txt;EFE Madrid 20 abr. 2020                                                                                                                                                  ;Tendam garantiza el 100 % del salario en abril a sus empleados y les facilitará microcréditos;https://www.efe.com/efe/espana/efeempresas/tendam-garantiza-el-100-del-salario-en-abril-a-sus-empleados-y-les-facilitara-microcreditos/50000908-4226212;EMPRESAS;;
Noticia_43.txt;EFE Madrid 6 abr. 2020                                                                                                                                                                        ;El Gobierno pide planificar compras Semana Santa para evitar riesgos COVID-19;https://www.efe.com/efe/espana/efeempresas/el-gobierno-pide-planificar-compras-semana-santa-para-evitar-riesgos-covid-19/50000908-4214611;EMPRESAS;;
